Success

	SiamRPN++
ALL	0.495	
Low Resolution	0.385	
Scale Variation	0.494	
Illumination Variation	0.530	
Rotation	0.485	
Camera Motion	0.513	
Motion Blur	0.442	
Deformation	0.528	
Partial Occlusion	0.466	
Background Clutter	0.449	
Full Occlusion	0.366	
Viewpoint Change	0.444	
Fast Motion	0.316	
Out-of-View	0.416	
Aspect Ratio Change	0.472	





Precision

	SiamRPN++
ALL	0.493	
Low Resolution	0.455	
Scale Variation	0.490	
Illumination Variation	0.551	
Rotation	0.484	
Camera Motion	0.516	
Motion Blur	0.459	
Deformation	0.474	
Partial Occlusion	0.453	
Background Clutter	0.454	
Full Occlusion	0.397	
Viewpoint Change	0.440	
Fast Motion	0.341	
Out-of-View	0.406	
Aspect Ratio Change	0.460	
